iter	F1	Logloss
0	0.25735042	0.6770565372
1	0.2575983976	0.6640652524
2	0.2844466533	0.6536062173
3	0.2591192682	0.6438818107
4	0.2591192682	0.6350502628
5	0.2593661483	0.6278577937
6	0.2845222505	0.6218901803
7	0.2854927342	0.6153854579
8	0.2879313276	0.6102185845
9	0.2909117025	0.6061097161
10	0.2932729188	0.6029107013
11	0.2971500654	0.5993872297
12	0.2953433685	0.5960065027
13	0.3017452704	0.5929191304
14	0.3007778301	0.5907242703
15	0.3024695097	0.5881744506
16	0.3017275791	0.5864963645
17	0.3010724403	0.5850465497
18	0.3002552519	0.5829700306
19	0.3013129147	0.5805360836
20	0.3023327458	0.5795430245
21	0.3019897531	0.5784731977
22	0.3029810681	0.5775644307
23	0.3039458237	0.5762081167
24	0.305796963	0.5752930544
25	0.3095286911	0.5743943807
26	0.3098714034	0.5738872295
27	0.3097725569	0.5733804739
28	0.3109671495	0.5727721944
29	0.3112541155	0.5723071936
30	0.3117147302	0.5719565255
31	0.3118987089	0.5716513555
32	0.3120994987	0.5712024476
33	0.3139956166	0.5703943259
34	0.3153345374	0.5693516045
35	0.3144077901	0.5689728826
36	0.3151164349	0.5688095164
37	0.3154003781	0.5685168896
38	0.3137724789	0.5683719912
39	0.3159470728	0.5682398635
40	0.3156934216	0.5678899423
41	0.3159314236	0.5674268878
42	0.3167257672	0.5673261973
43	0.317751093	0.5669983992
44	0.3170202865	0.5668188594
45	0.317273249	0.566739174
46	0.3187030252	0.566672951
47	0.3198426276	0.5666137085
48	0.3203240095	0.5665537183
49	0.3198457434	0.5664696082
50	0.3214085366	0.5664424943
51	0.320186118	0.5662320426
52	0.3199080764	0.5660963089
53	0.3207204189	0.5660514299
54	0.3231848278	0.5660124172
55	0.324220741	0.5659796179
56	0.3246055345	0.5659473154
57	0.3240977676	0.5658689043
58	0.3236187215	0.5658195297
59	0.3243595523	0.5656694936
60	0.3245642397	0.5652727545
61	0.3248872633	0.5652495242
62	0.3245181709	0.5651987191
63	0.3236505974	0.5651948283
64	0.3245097031	0.5651770836
65	0.3253164743	0.5651562375
66	0.3254328163	0.5651435311
67	0.325688522	0.5651299647
68	0.325502453	0.5650104585
69	0.3255158786	0.5649625034
70	0.3253675122	0.564816194
71	0.3253920888	0.5647984778
72	0.3253242528	0.5647592356
73	0.3253026196	0.5646850489
74	0.3251434975	0.5646691449
75	0.3249725877	0.5646679014
76	0.3251099899	0.5646613966
77	0.3249730788	0.5645921001
78	0.3249949833	0.5645023396
79	0.3253973301	0.5644962698
80	0.3252011039	0.5644931263
81	0.3249395432	0.5644869539
82	0.3253706956	0.5644761243
83	0.325398689	0.564403338
84	0.3255363579	0.5643955061
85	0.3259355558	0.5643869644
86	0.3261451575	0.5643791372
87	0.3262073884	0.5643077022
88	0.3261958152	0.5641553838
89	0.3265132723	0.5641481978
90	0.3266091236	0.5641431019
91	0.3267911967	0.5641396002
92	0.3267483806	0.5641354405
93	0.3267601234	0.5641280349
94	0.3268091254	0.5640819584
95	0.3268559602	0.5640776735
96	0.327061579	0.5640726461
97	0.3273335675	0.564066891
98	0.3273536039	0.5640613057
99	0.3274193863	0.5640559126
100	0.3276372306	0.5640506766
101	0.3278682133	0.5640455772
102	0.3270198385	0.5640396944
103	0.3270899419	0.5640337539
104	0.3268193379	0.5640057679
105	0.3265425737	0.5639973781
106	0.3260478574	0.5639607675
107	0.326059439	0.5638658585
108	0.326231639	0.5638647059
109	0.3259367896	0.5638625368
110	0.3264959269	0.5638561569
111	0.326702992	0.5637936843
112	0.3267045871	0.5637936835
113	0.3273216873	0.5637893104
114	0.3266924489	0.5637848989
115	0.3266643552	0.5637833502
116	0.3263381624	0.5637784781
117	0.3263084343	0.5637765946
118	0.326324585	0.5637749725
119	0.3267143959	0.5637721434
120	0.3267771517	0.5637680022
121	0.3268602567	0.5637641415
122	0.3267849382	0.5637624807
123	0.3267289501	0.5637602322
124	0.3264839513	0.5637576417
125	0.3267486778	0.5637544604
126	0.3267518692	0.5637372425
127	0.3265525462	0.5637335688
128	0.326496712	0.5637312171
129	0.326440668	0.563729152
130	0.3268216449	0.5637268964
131	0.3268264333	0.5637226383
132	0.3270135006	0.5637182232
133	0.3270964624	0.5637175722
134	0.3271158061	0.5637131785
135	0.3272789398	0.5637056297
136	0.3270605469	0.5637035924
137	0.3270394188	0.5637019999
138	0.3270278716	0.5637007438
139	0.3269648603	0.5636981964
140	0.3269856151	0.563696672
141	0.3268443724	0.5636959346
142	0.326821454	0.5636957403
143	0.3267066547	0.5636938265
144	0.3267259992	0.5636893337
145	0.3267457309	0.5636885459
146	0.3268310313	0.5636850163
147	0.3268587392	0.5636821949
148	0.3271299583	0.563676379
149	0.3271171791	0.5636749442
150	0.3270367151	0.5636735911
151	0.3270415065	0.5636725274
152	0.3270498608	0.5636701775
153	0.3271106076	0.5636685143
154	0.3270263934	0.5636660191
155	0.3267667292	0.563663909
156	0.3269800021	0.5636608601
157	0.3269140579	0.5636564951
158	0.3268761939	0.5636547314
159	0.3269302171	0.5636430004
160	0.3268484771	0.5636389688
161	0.3265936494	0.5636324935
162	0.326590457	0.563630757
163	0.3266528855	0.5636272471
164	0.326659271	0.5636222959
165	0.3266925652	0.5636209598
166	0.3266762117	0.5636199586
167	0.3264950998	0.5636017823
168	0.3264851231	0.5635982719
169	0.3267320443	0.5635975559
170	0.3270070426	0.5635968256
171	0.3270686607	0.5635926262
172	0.3270027354	0.5635900609
173	0.327129413	0.5635875888
174	0.3270373898	0.5635370968
175	0.3270357924	0.5635359742
176	0.3271459338	0.5635351037
177	0.3269997265	0.5635292895
178	0.3269636577	0.5635275616
179	0.3270262086	0.5635262139
180	0.3269652548	0.5635256597
181	0.3269652548	0.5635256516
182	0.3269620606	0.5635246981
183	0.3270000977	0.5635239583
184	0.3269096434	0.5635220478
