iter	Passed	Remaining
0	70	20961
1	133	19919
2	187	18577
3	247	18340
4	311	18360
5	377	18494
6	431	18067
7	488	17821
8	547	17696
9	599	17391
10	650	17097
11	698	16772
12	749	16536
13	801	16374
14	854	16230
15	905	16077
16	960	15991
17	1011	15848
18	1062	15708
19	1118	15658
20	1174	15604
21	1234	15595
22	1285	15481
23	1389	15979
24	1460	16063
25	1521	16029
26	1571	15889
27	1630	15836
28	1681	15716
29	1735	15615
30	1789	15530
31	1834	15361
32	1884	15245
33	1938	15163
34	1984	15024
35	2035	14925
36	2087	14841
37	2143	14775
38	2194	14684
39	2237	14546
40	2293	14486
41	2347	14418
42	2399	14338
43	2453	14272
44	2507	14207
45	2557	14122
46	2610	14053
47	2659	13964
48	2710	13881
49	2761	13806
50	2790	13622
51	2843	13562
52	2887	13457
53	2934	13369
54	2980	13276
55	3034	13220
56	3085	13155
57	3141	13108
58	3187	13018
59	3233	12935
60	3281	12855
61	3326	12770
62	3378	12708
63	3400	12539
64	3449	12471
65	3499	12405
66	3546	12333
67	3601	12287
68	3648	12214
69	3697	12147
70	3748	12090
71	3795	12018
72	3844	11953
73	3899	11909
74	3945	11836
75	3984	11744
76	4045	11717
77	4117	11717
78	4162	11644
79	4211	11580
80	4249	11489
81	4295	11419
82	4344	11358
83	4397	11307
84	4442	11236
85	4491	11176
86	4539	11113
87	4588	11053
88	4636	10991
89	4689	10941
90	4741	10889
91	4791	10833
92	4835	10762
93	4886	10709
94	4934	10648
95	4987	10598
96	5038	10544
97	5089	10491
98	5137	10429
99	5184	10368
100	5227	10300
101	5276	10242
102	5330	10194
103	5378	10136
104	5427	10079
105	5480	10030
106	5529	9973
107	5577	9915
108	5633	9871
109	5682	9815
110	5736	9767
111	5791	9721
112	5812	9618
113	5859	9560
114	5911	9510
115	5960	9454
116	6012	9404
117	6062	9351
118	6114	9300
119	6159	9239
120	6207	9183
121	6262	9136
122	6309	9079
123	6359	9026
124	6407	8970
125	6455	8914
126	6556	8931
127	6604	8874
128	6653	8819
129	6699	8760
130	6746	8704
131	6797	8651
132	6846	8596
133	6894	8540
134	6943	8486
135	6992	8431
136	7045	8383
137	7090	8323
138	7134	8263
139	7182	8208
140	7230	8153
141	7277	8097
142	7311	8027
143	7363	7977
144	7412	7923
145	7457	7866
146	7507	7813
147	7552	7756
148	7599	7701
149	7648	7648
150	7693	7592
151	7737	7534
152	7790	7485
153	7840	7433
154	7892	7383
155	7951	7339
156	7997	7284
157	8056	7240
158	8105	7187
159	8146	7128
160	8193	7074
161	8246	7024
162	8296	6972
163	8343	6918
164	8384	6860
165	8439	6812
166	8487	6759
167	8536	6706
168	8569	6642
169	8620	6591
170	8667	6538
171	8714	6485
172	8763	6433
173	8820	6386
174	8874	6338
175	8924	6287
176	9006	6259
177	9056	6206
178	9109	6157
179	9163	6108
180	9209	6055
181	9243	5992
182	9285	5936
183	9332	5883
184	9383	5833
185	9431	5780
186	9458	5715
187	9501	5660
188	9555	5611
189	9596	5555
190	9651	5507
191	9701	5457
192	9747	5404
193	9768	5337
194	9814	5284
195	9867	5235
196	9920	5186
197	9970	5136
198	10023	5087
199	10073	5036
200	10101	4975
201	10124	4911
202	10177	4863
203	10232	4815
204	10284	4766
205	10337	4717
206	10364	4656
207	10410	4604
208	10461	4555
209	10483	4493
210	10536	4444
211	10586	4394
212	10640	4346
213	10696	4298
214	10749	4249
215	10777	4191
216	10823	4139
217	10873	4090
218	10920	4039
219	10968	3988
220	11012	3936
221	11057	3885
222	11107	3835
223	11163	3787
224	11212	3737
225	11259	3686
226	11310	3637
227	11398	3599
228	11447	3549
229	11492	3497
230	11545	3448
231	11592	3397
232	11653	3350
233	11702	3300
234	11750	3250
235	11780	3194
236	11825	3143
237	11874	3093
238	11929	3044
239	11978	2994
240	12024	2943
241	12071	2893
242	12122	2843
243	12172	2793
244	12225	2744
245	12275	2694
246	12327	2645
247	12378	2595
248	12432	2546
249	12462	2492
250	12509	2441
251	12565	2393
252	12623	2345
253	12672	2295
254	12723	2245
255	12772	2195
256	12823	2145
257	12874	2095
258	12922	2045
259	12974	1996
260	13030	1947
261	13090	1898
262	13121	1845
263	13167	1795
264	13216	1745
265	13267	1695
266	13324	1646
267	13373	1596
268	13424	1547
269	13472	1496
270	13522	1447
271	13577	1397
272	13631	1348
273	13680	1298
274	13731	1248
275	13821	1201
276	13872	1151
277	13919	1101
278	13972	1051
279	14019	1001
280	14066	951
281	14118	901
282	14171	851
283	14222	801
284	14270	751
285	14327	701
286	14381	651
287	14430	601
288	14480	551
289	14537	501
290	14583	451
291	14636	401
292	14687	350
293	14740	300
294	14790	250
295	14840	200
296	14891	150
297	14945	100
298	14999	50
299	15050	0
